combo,groups,M74,M77,M79,M80,M81,M82,M85,M87
1,EFGHIJKL,F,G,E,K,I,H,J,L
2,DFGHIJKL,D,F,H,K,I,J,G,L
3,DEGHIJKL,D,G,E,K,I,H,J,L
4,DEFHIJKL,D,F,E,K,I,H,J,L
5,DEFGIJKL,D,F,E,K,I,J,G,L
6,DEFGHJKL,D,F,E,K,J,H,G,L
7,DEFGHIKL,D,F,E,K,I,H,G,L
8,DEFGHIJL,D,F,E,I,J,H,G,L
9,DEFGHIJK,D,F,E,K,J,H,G,I
10,CFGHIJKL,C,F,H,K,I,J,G,L
11,CEGHIJKL,C,G,E,K,I,H,J,L
12,CEFHIJKL,C,F,E,K,I,H,J,L
13,CEFGIJKL,C,F,E,K,I,J,G,L
14,CEFGHJKL,C,F,E,K,J,H,G,L
15,CEFGHIKL,C,F,E,K,I,H,G,L
16,CEFGHIJL,C,F,E,I,J,H,G,L
17,CEFGHIJK,C,F,E,K,J,H,G,I
18,CDGHIJKL,C,D,H,K,I,J,G,L
19,CDFHIJKL,D,F,C,K,I,H,J,L
20,CDFGIJKL,D,F,C,K,I,J,G,L
21,CDFGHJKL,D,F,C,K,J,H,G,L
22,CDFGHIKL,D,F,C,K,I,H,G,L
23,CDFGHIJL,D,F,C,I,J,H,G,L
24,CDFGHIJK,D,F,C,K,J,H,G,I
25,CDEHIJKL,C,D,E,K,I,H,J,L
26,CDEGIJKL,C,D,E,K,I,J,G,L
27,CDEGHJKL,C,D,E,K,J,H,G,L
28,CDEGHIKL,C,D,E,K,I,H,G,L
29,CDEGHIJL,C,D,E,I,J,H,G,L
30,CDEGHIJK,C,D,E,K,J,H,G,I
31,CDEFIJKL,D,F,C,K,E,I,J,L
32,CDEFHJKL,D,F,C,K,E,H,J,L
33,CDEFHIKL,D,F,C,K,I,H,E,L
34,CDEFHIJL,D,F,C,I,E,H,J,L
35,CDEFHIJK,D,F,C,K,E,H,J,I
36,CDEFGJKL,D,F,C,K,E,J,G,L
37,CDEFGIKL,D,F,C,K,E,I,G,L
38,CDEFGIJL,D,F,C,I,E,J,G,L
39,CDEFGIJK,D,F,C,K,E,J,G,I
40,CDEFGHKL,D,F,C,K,E,H,G,L
41,CDEFGHJL,D,F,C,E,J,H,G,L
